,MAGLIE,CAMICIE,GONNE,PANTALONI,VESTITI,GIACCHE
2013-05-09,14,5,1,11,7,7
2013-05-10,38,19,2,16,12,4
2013-05-11,49,15,3,16,7,7
2013-05-12,0,0,0,0,0,0
2013-05-13,32,11,2,15,3,5
2013-05-14,27,20,2,23,14,3
2013-05-15,14,18,1,16,8,13
2013-05-16,24,14,0,13,9,8
2013-05-17,33,26,2,24,8,19
2013-05-18,33,14,1,17,10,8
2013-05-19,0,0,0,0,0,0
2013-05-20,17,10,0,15,7,7
2013-05-21,26,16,1,15,9,9
2013-05-22,31,16,0,16,12,5
2013-05-23,25,19,2,28,15,11
2013-05-24,42,12,0,14,9,24
2013-05-25,21,12,0,17,5,9
2013-05-26,0,0,0,0,0,0
2013-05-27,19,5,0,19,4,6
2013-05-28,26,14,1,13,6,10
2013-05-29,29,16,1,12,6,10
2013-05-30,20,13,2,14,21,10
2013-05-31,23,7,1,14,13,10
2013-06-01,20,17,0,13,10,17
2013-06-02,0,0,0,0,0,0
2013-06-03,21,5,0,20,5,4
2013-06-04,23,12,5,5,11,5
2013-06-05,33,20,4,20,11,4
2013-06-06,33,16,2,26,14,3
2013-06-07,25,10,1,15,17,7
2013-06-08,43,11,4,30,18,10
2013-06-09,0,0,0,0,0,0
2013-06-10,35,16,1,20,9,3
2013-06-11,29,13,3,17,8,9
2013-06-12,18,21,3,24,13,12
2013-06-13,39,8,2,11,11,7
2013-06-14,27,14,1,20,16,7
2013-06-15,29,19,5,14,19,6
2013-06-16,0,0,0,0,0,0
2013-06-17,14,12,2,16,22,3
2013-06-18,26,14,2,18,14,0
2013-06-19,30,18,4,25,17,2
2013-06-20,27,14,4,19,13,2
2013-06-21,33,22,4,22,23,4
2013-06-22,41,25,8,24,24,4
2013-06-23,0,0,0,0,0,0
2013-06-24,23,12,0,12,11,1
2013-06-25,22,27,1,22,3,2
2013-06-26,22,19,2,22,14,2
2013-06-27,33,24,5,25,17,5
2013-06-28,19,26,3,28,21,7
2013-06-29,24,14,9,16,16,2
2013-06-30,0,0,0,0,0,0
2013-07-01,0,0,0,0,0,0
2013-07-02,0,0,0,0,0,0
2013-07-03,0,0,0,0,0,0
2013-07-04,0,0,0,0,0,0
2013-07-05,0,0,0,0,0,0
2013-07-06,0,0,0,0,0,0
2013-07-07,0,0,0,0,0,0
2013-07-08,0,0,0,0,0,0
2013-07-09,0,0,0,0,0,0
2013-07-10,0,0,0,0,0,0
2013-07-11,0,0,0,0,0,0
2013-07-12,0,0,0,0,0,0
2013-07-13,0,0,0,0,0,0
2013-07-14,0,0,0,0,0,0
2013-07-15,0,0,0,0,0,0
2013-07-16,0,0,0,0,0,0
2013-07-17,0,0,0,0,0,0
2013-07-18,0,0,0,0,0,0
2013-07-19,0,0,0,0,0,0
2013-07-20,0,0,0,0,0,0
2013-07-21,0,0,0,0,0,0
2013-07-22,0,1,0,2,2,1
2013-07-23,0,0,0,0,0,0
2013-07-24,8,2,0,3,4,2
2013-07-25,3,2,0,3,0,0
2013-07-26,4,2,0,6,1,1
2013-07-27,1,0,0,4,6,1
2013-07-28,0,0,0,0,0,0
2013-07-29,3,2,0,3,2,0
2013-07-30,3,0,0,5,7,1
2013-07-31,4,2,0,5,2,1
2013-08-01,5,1,1,8,7,1
2013-08-02,3,1,0,4,2,0
2013-08-03,3,0,0,2,1,1
2013-08-04,0,0,0,0,0,0
2013-08-05,5,0,0,4,2,0
2013-08-06,0,0,0,2,5,1
2013-08-07,2,0,0,6,4,0
2013-08-08,2,2,0,9,5,1
2013-08-09,6,6,1,7,7,3
2013-08-10,8,5,0,10,7,4
2013-08-11,0,0,0,0,0,0
2013-08-12,7,7,3,5,7,5
2013-08-13,10,9,2,8,5,6
2013-08-14,9,8,1,5,7,8
2013-08-15,0,0,0,0,0,0
2013-08-16,4,6,0,8,11,4
2013-08-17,14,14,4,8,7,6
2013-08-18,0,0,0,0,0,0
2013-08-19,19,9,1,15,10,7
2013-08-20,7,9,2,4,10,5
2013-08-21,18,13,2,15,8,5
2013-08-22,16,12,4,13,11,1
2013-08-23,8,8,2,8,8,3
2013-08-24,11,5,0,12,16,4
2013-08-25,0,0,0,0,0,0
2013-08-26,13,10,0,7,10,4
2013-08-27,7,6,1,11,9,8
2013-08-28,9,3,1,7,11,6
2013-08-29,17,15,0,10,9,8
2013-08-30,23,12,0,17,13,6
2013-08-31,13,12,1,11,7,4
2013-09-01,0,0,0,0,0,0
2013-09-02,25,5,5,13,9,4
2013-09-03,13,5,0,12,8,3
2013-09-04,7,8,1,17,5,5
2013-09-05,19,11,1,15,5,6
2013-09-06,10,8,2,7,13,12
2013-09-07,18,7,1,11,10,6
2013-09-08,0,0,0,0,0,0
2013-09-09,16,15,4,17,9,14
2013-09-10,23,3,2,15,3,9
2013-09-11,27,12,4,20,6,9
2013-09-12,25,9,1,17,17,20
2013-09-13,38,8,2,15,10,9
2013-09-14,36,10,0,16,11,12
2013-09-15,0,0,0,0,0,0
2013-09-16,26,4,0,12,17,11
2013-09-17,20,11,5,10,10,8
2013-09-18,33,10,1,19,13,6
2013-09-19,41,17,1,22,10,13
2013-09-20,20,6,1,20,7,10
2013-09-21,30,8,0,10,8,11
2013-09-22,0,0,0,0,0,0
2013-09-23,22,13,4,17,6,3
2013-09-24,29,10,0,16,3,5
2013-09-25,37,17,0,18,21,10
2013-09-26,29,11,1,12,8,4
2013-09-27,23,8,1,10,13,5
2013-09-28,25,14,2,20,13,7
2013-09-29,0,0,0,0,0,0
2013-09-30,25,8,0,13,9,4
2013-10-01,29,13,3,21,11,3
2013-10-02,25,9,0,15,11,4
2013-10-03,20,8,0,9,7,8
2013-10-04,44,12,0,15,5,8
2013-10-05,38,9,2,17,13,6
2013-10-06,0,0,0,0,0,0
2013-10-07,22,12,1,23,7,4
2013-10-08,19,4,1,15,12,11
2013-10-09,27,6,2,15,14,13
2013-10-10,33,12,0,19,9,14
2013-10-11,32,12,0,17,19,13
2013-10-12,46,21,2,35,10,10
2013-10-13,0,0,0,0,0,0
2013-10-14,34,8,2,33,10,10
2013-10-15,19,11,0,9,5,9
2013-10-16,36,10,0,25,12,9
2013-10-17,52,17,4,18,8,14
