,MAGLIE,CAMICIE,GONNE,PANTALONI,VESTITI,GIACCHE
2015-05-23,47,31,1,36,21,10
2015-05-24,41,19,2,28,21,11
2015-05-25,15,10,0,11,4,7
2015-05-26,6,11,0,14,4,5
2015-05-27,18,13,1,11,7,6
2015-05-28,20,11,1,15,6,4
2015-05-29,18,14,2,18,7,1
2015-05-30,32,25,0,17,8,1
2015-05-31,45,34,3,36,15,7
2015-06-01,28,13,1,18,6,3
2015-06-02,29,14,1,23,12,1
2015-06-03,8,8,1,7,5,1
2015-06-04,14,12,0,13,8,2
2015-06-05,12,16,1,6,6,3
2015-06-06,36,21,5,23,15,3
2015-06-07,26,17,4,18,9,2
2015-06-08,18,12,2,12,2,0
2015-06-09,18,15,1,18,11,2
2015-06-10,17,9,2,11,7,1
2015-06-11,27,16,1,18,4,4
2015-06-12,15,12,1,12,6,0
2015-06-13,29,22,2,22,6,1
2015-06-14,27,18,3,19,8,4
2015-06-15,17,17,1,17,6,3
2015-06-16,12,4,2,11,8,1
2015-06-17,11,13,3,19,7,0
2015-06-18,14,7,0,8,9,1
2015-06-19,3,6,1,12,6,0
2015-06-20,12,12,1,13,7,0
2015-06-21,17,14,1,15,7,0
2015-06-22,6,7,0,3,5,0
2015-06-23,8,12,0,6,5,0
2015-06-24,1,2,2,0,3,0
2015-06-25,4,3,1,8,4,0
2015-06-26,10,7,4,9,6,1
2015-06-27,8,17,0,15,6,2
2015-06-28,14,8,3,12,3,1
2015-06-29,15,15,2,15,7,0
2015-06-30,4,5,0,6,5,0
2015-07-01,0,0,0,0,0,0
2015-07-02,0,0,0,0,0,0
2015-07-03,0,0,0,0,0,0
2015-07-04,0,0,0,0,0,0
2015-07-05,0,0,0,0,0,0
2015-07-06,0,0,0,0,0,0
2015-07-07,1,0,0,0,0,0
2015-07-08,1,0,0,0,1,2
2015-07-09,3,0,0,1,0,0
2015-07-10,4,0,0,0,1,0
2015-07-11,3,1,0,3,0,0
2015-07-12,5,4,0,0,4,1
2015-07-13,1,0,0,1,3,0
2015-07-14,4,0,0,1,1,0
2015-07-15,0,1,1,1,0,0
2015-07-16,1,5,0,0,0,0
2015-07-17,2,5,1,2,0,1
2015-07-18,5,2,0,3,3,0
2015-07-19,4,0,0,0,2,0
2015-07-20,5,2,0,1,2,0
2015-07-21,1,0,0,1,1,0
2015-07-22,2,0,0,0,1,1
2015-07-23,3,0,0,0,4,0
2015-07-24,4,2,0,2,4,0
2015-07-25,7,0,0,1,2,0
2015-07-26,6,0,1,0,1,1
2015-07-27,3,2,0,2,0,0
2015-07-28,4,2,0,2,0,0
2015-07-29,6,1,0,3,7,1
2015-07-30,6,2,0,2,5,0
2015-07-31,5,2,0,5,3,1
2015-08-01,6,4,0,3,3,0
2015-08-02,9,2,1,5,4,0
2015-08-03,2,2,0,5,1,1
2015-08-04,5,2,1,5,4,1
2015-08-05,1,2,0,3,4,1
2015-08-06,3,1,1,1,1,0
2015-08-07,3,0,0,5,1,0
2015-08-08,11,2,0,1,8,0
2015-08-09,2,3,1,5,4,0
2015-08-10,5,1,0,6,4,0
2015-08-11,10,1,0,3,6,0
2015-08-12,1,1,0,1,2,1
2015-08-13,3,3,0,11,2,1
2015-08-14,5,3,0,8,2,1
2015-08-15,0,0,0,0,0,0
2015-08-16,15,8,1,6,3,1
2015-08-17,4,2,0,2,3,2
2015-08-18,3,1,0,1,3,1
2015-08-19,15,5,0,2,7,0
2015-08-20,3,0,1,2,2,1
2015-08-21,11,6,0,11,4,0
2015-08-22,6,8,3,3,4,2
2015-08-23,9,2,0,7,3,1
2015-08-24,6,1,0,5,3,1
2015-08-25,11,3,3,7,4,2
2015-08-26,6,2,0,6,1,0
2015-08-27,7,4,1,6,3,2
2015-08-28,6,4,0,5,2,5
2015-08-29,13,8,1,11,6,6
2015-08-30,6,4,0,8,1,2
2015-08-31,1,1,0,6,0,1
2015-09-01,8,4,1,2,3,1
2015-09-02,7,0,0,10,6,6
2015-09-03,7,5,1,8,8,6
2015-09-04,7,7,1,9,5,3
2015-09-05,14,11,0,12,11,5
2015-09-06,20,6,1,14,9,9
2015-09-07,7,5,1,3,4,0
2015-09-08,5,3,1,6,6,3
2015-09-09,10,8,0,4,4,3
2015-09-10,7,6,1,6,2,4
2015-09-11,15,6,0,6,3,7
2015-09-12,20,7,2,15,12,9
2015-09-13,11,10,1,11,13,7
2015-09-14,11,1,0,5,6,4
2015-09-15,6,4,2,3,4,5
2015-09-16,15,1,1,7,5,5
2015-09-17,3,4,0,3,6,7
2015-09-18,4,2,0,5,3,3
2015-09-19,14,8,0,12,3,6
2015-09-20,20,5,1,16,16,8
2015-09-21,3,3,1,3,3,2
2015-09-22,5,1,0,7,4,1
2015-09-23,5,7,0,9,4,1
2015-09-24,6,2,0,8,6,4
2015-09-25,5,6,1,9,4,8
2015-09-26,16,14,0,15,11,9
2015-09-27,11,11,0,4,9,7
2015-09-28,4,4,1,1,4,4
2015-09-29,14,2,0,8,4,5
2015-09-30,10,5,1,6,7,6
2015-10-01,22,5,2,11,8,7
2015-10-02,19,10,0,7,3,7
2015-10-03,33,15,3,18,7,15
2015-10-04,23,15,2,18,10,5
2015-10-05,11,3,0,0,1,5
2015-10-06,6,6,0,1,2,4
2015-10-07,10,10,0,10,7,3
2015-10-08,12,7,1,9,5,8
2015-10-09,10,0,1,4,8,4
2015-10-10,32,18,1,15,18,16
2015-10-11,28,10,1,17,9,15
2015-10-12,4,3,0,5,2,3
2015-10-13,14,4,1,7,5,3
2015-10-14,8,3,0,5,1,1
2015-10-15,14,4,0,11,11,5
2015-10-16,14,3,1,9,1,6
2015-10-17,13,4,0,11,10,11
2015-10-18,27,5,0,11,9,14
2015-10-19,8,0,0,3,0,1
2015-10-20,1,2,0,4,5,1
2015-10-21,12,4,0,2,10,2
2015-10-22,10,8,1,4,13,9
2015-10-23,9,5,0,3,5,4
2015-10-24,25,7,5,9,9,5
2015-10-25,19,3,2,7,13,2
2015-10-26,10,2,3,4,4,4
2015-10-27,2,1,0,4,0,3
2015-10-28,5,0,0,3,6,0
2015-10-29,10,5,0,5,6,1
2015-10-30,16,2,1,1,7,4
2015-10-31,23,2,2,4,14,5
2015-11-01,15,2,2,7,15,7
2015-11-02,12,5,0,8,3,5
2015-11-03,8,0,0,1,5,2
2015-11-04,11,5,3,6,1,4
2015-11-05,10,6,3,4,4,3
2015-11-06,14,2,2,5,10,2
2015-11-07,20,2,1,12,8,6
2015-11-08,18,3,4,5,16,12
2015-11-09,6,3,0,4,6,2
2015-11-10,12,2,0,5,2,4
2015-11-11,7,0,1,2,6,4
2015-11-12,11,1,0,4,3,3
2015-11-13,12,3,1,4,7,4
2015-11-14,27,6,0,17,12,8
2015-11-15,12,7,1,6,17,8
2015-11-16,6,3,2,3,4,1
2015-11-17,9,2,0,4,7,2
2015-11-18,9,7,0,3,15,4
2015-11-19,17,3,0,1,6,2
2015-11-20,15,1,0,0,7,4
2015-11-21,17,6,2,7,16,13
2015-11-22,27,6,2,3,27,8
2015-11-23,6,3,1,2,5,0
2015-11-24,8,4,0,1,6,5
2015-11-25,12,1,0,3,3,5
2015-11-26,9,0,0,2,5,2
2015-11-27,20,3,2,7,14,7
