,MAGLIE,CAMICIE,GONNE,PANTALONI,VESTITI,GIACCHE
2016-04-14,17,32,0,17,21,15
2016-04-15,12,34,4,16,17,14
2016-04-16,36,44,3,28,40,27
2016-04-17,47,42,0,21,37,31
2016-04-18,13,17,3,9,17,11
2016-04-19,15,24,4,13,8,8
2016-04-20,12,20,0,8,11,9
2016-04-21,18,22,1,12,17,15
2016-04-22,26,28,3,20,19,22
2016-04-23,45,53,6,33,30,31
2016-04-24,38,54,2,20,33,28
2016-04-25,48,65,4,40,32,30
2016-04-26,20,17,5,19,10,9
2016-04-27,18,20,0,14,13,12
2016-04-28,15,19,1,8,17,13
2016-04-29,24,29,1,20,20,12
2016-04-30,30,47,4,32,27,20
2016-05-01,41,42,8,29,54,23
2016-05-02,17,36,8,13,19,15
2016-05-03,15,17,0,10,12,10
2016-05-04,21,9,1,12,27,5
2016-05-05,31,27,1,18,35,17
2016-05-06,31,33,4,23,23,18
2016-05-07,47,44,7,28,46,11
2016-05-08,37,46,2,33,44,20
2016-05-09,3,26,2,19,16,12
2016-05-10,7,18,1,11,6,6
2016-05-11,14,12,1,10,15,13
2016-05-12,33,20,1,20,23,19
2016-05-13,13,16,5,14,24,17
2016-05-14,31,42,6,27,36,23
2016-05-15,48,45,3,43,44,24
2016-05-16,26,13,2,18,35,13
2016-05-17,18,13,2,17,11,4
2016-05-18,20,20,1,20,24,19
2016-05-19,12,41,9,16,20,19
2016-05-20,42,40,9,32,11,14
2016-05-21,28,38,4,45,38,13
2016-05-22,39,46,5,38,34,23
2016-05-23,11,29,3,16,13,9
2016-05-24,10,16,3,19,19,9
2016-05-25,13,22,6,19,28,13
2016-05-26,37,42,16,34,21,13
2016-05-27,25,30,9,20,27,12
2016-05-28,40,47,9,21,34,14
2016-05-29,58,68,14,57,45,16
2016-05-30,19,32,7,21,12,5
2016-05-31,7,28,7,19,14,10
2016-06-01,10,22,5,8,22,8
2016-06-02,58,67,7,44,42,10
2016-06-03,48,60,12,44,38,13
2016-06-04,33,42,6,25,35,6
2016-06-05,20,43,6,22,21,7
2016-06-06,15,16,5,21,13,2
2016-06-07,17,17,1,6,17,6
2016-06-08,12,24,3,32,17,8
2016-06-09,8,15,2,19,19,10
2016-06-10,15,29,4,30,17,3
2016-06-11,30,55,7,54,40,10
2016-06-12,36,56,10,63,33,7
2016-06-13,16,22,3,15,20,2
2016-06-14,10,14,0,13,11,4
2016-06-15,16,22,3,20,13,3
2016-06-16,18,11,4,15,13,7
2016-06-17,4,22,2,11,16,7
2016-06-18,41,35,7,27,37,10
2016-06-19,28,40,6,35,41,7
2016-06-20,8,22,3,18,19,2
2016-06-21,10,18,4,16,23,2
2016-06-22,14,14,5,16,16,0
2016-06-23,7,18,5,16,20,2
2016-06-24,0,2,0,0,0,0
2016-06-25,1,1,3,5,1,0
2016-06-26,1,0,0,1,0,0
2016-06-27,0,1,0,0,0,0
2016-06-28,1,3,1,1,1,0
2016-06-29,0,0,0,0,0,0
2016-06-30,0,0,0,0,0,0
2016-07-01,3,5,0,2,1,0
2016-07-02,6,7,0,3,12,2
2016-07-03,5,5,2,9,9,1
2016-07-04,4,7,0,3,7,0
2016-07-05,10,3,0,4,1,0
2016-07-06,7,5,0,6,3,0
2016-07-07,10,8,0,4,4,2
2016-07-08,7,2,0,3,5,0
2016-07-09,12,9,0,7,8,1
2016-07-10,19,9,0,7,8,0
2016-07-11,6,4,0,6,7,0
2016-07-12,9,3,0,3,6,1
2016-07-13,7,2,0,4,11,1
2016-07-14,10,7,0,12,9,2
2016-07-15,5,7,0,4,11,1
2016-07-16,11,12,1,12,16,6
2016-07-17,11,15,0,7,13,1
2016-07-18,4,11,1,6,5,1
2016-07-19,3,5,0,6,9,1
2016-07-20,7,5,0,9,9,0
2016-07-21,15,8,1,4,11,1
2016-07-22,10,8,0,4,13,3
2016-07-23,17,15,0,9,25,6
2016-07-24,9,13,1,5,18,4
2016-07-25,5,4,1,1,8,0
2016-07-26,9,1,0,2,9,0
2016-07-27,3,7,0,4,9,6
2016-07-28,6,8,1,7,11,6
2016-07-29,1,7,0,4,4,0
2016-07-30,12,12,1,12,15,6
2016-07-31,15,16,0,9,20,10
2016-08-01,11,4,2,13,12,2
2016-08-02,7,11,0,7,6,0
2016-08-03,10,5,0,5,13,4
2016-08-04,12,10,0,7,18,5
2016-08-05,16,6,0,8,8,2
2016-08-06,14,13,0,15,14,5
2016-08-07,4,13,0,7,15,6
2016-08-08,11,14,1,7,14,0
2016-08-09,11,9,0,9,18,4
2016-08-10,5,10,1,8,12,0
2016-08-11,11,14,0,7,12,8
2016-08-12,8,11,1,7,6,6
2016-08-13,11,8,1,5,12,3
2016-08-14,20,10,2,16,11,2
2016-08-15,3,7,2,5,11,3
2016-08-16,10,16,3,17,14,3
2016-08-17,12,16,0,6,14,7
2016-08-18,18,15,2,8,22,16
2016-08-19,16,9,1,12,17,7
2016-08-20,17,20,1,8,15,8
2016-08-21,13,13,1,7,23,7
2016-08-22,9,11,2,1,16,5
2016-08-23,21,13,2,15,18,2
2016-08-24,12,19,1,9,13,4
2016-08-25,10,18,0,14,17,5
2016-08-26,18,10,1,15,20,7
2016-08-27,19,16,3,13,20,7
2016-08-28,19,24,2,16,25,13
2016-08-29,11,11,1,6,9,4
2016-08-30,15,12,1,8,14,4
2016-08-31,6,10,1,8,8,2
2016-09-01,8,11,0,7,11,4
2016-09-02,6,12,0,8,7,3
2016-09-03,24,24,2,13,20,8
2016-09-04,15,16,0,10,17,13
2016-09-05,9,11,1,9,11,3
2016-09-06,7,6,0,5,8,4
2016-09-07,6,7,0,4,15,5
2016-09-08,7,11,1,10,11,8
2016-09-09,5,10,2,7,15,9
2016-09-10,28,38,4,24,38,9
2016-09-11,14,15,5,16,6,18
2016-09-12,1,5,0,2,6,1
2016-09-13,3,3,1,4,5,7
